ax,ay,az,gx,gy,gz
369,-1355,1491,65,-85,-20
334,-1362,1481,25,-70,-19
323,-1324,1452,8,-64,-22
305,-1321,1450,16,-37,-37
311,-1342,1458,2,-24,-33
303,-1375,1489,-9,-9,-29
313,-1365,1510,-18,-1,-26
306,-1346,1515,52,28,-12
296,-1336,1510,33,24,5
313,-1339,1523,5,-11,28
337,-1347,1511,-3,-24,36
343,-1355,1511,3,-22,30
364,-1366,1508,21,-13,14
368,-1375,1548,17,15,3
370,-1376,1544,-4,12,-1
366,-1379,1541,-15,16,-4
371,-1377,1525,-15,22,-10
361,-1362,1529,7,31,-24
353,-1345,1556,-13,19,-18
343,-1361,1557,-28,-1,-18
345,-1370,1541,-38,-13,-19
342,-1354,1512,-55,-17,-15
335,-1351,1497,-65,-4,-11
333,-1337,1481,-64,15,-8
321,-1349,1495,-56,49,-2
305,-1363,1494,-5,58,-4
283,-1383,1507,69,43,-9
321,-1346,1541,83,-7,3
331,-1358,1525,50,-15,10
333,-1336,1524,21,-23,12
326,-1344,1498,-1,-25,13
338,-1338,1525,-27,-11,16
337,-1356,1528,-56,-11,25
329,-1360,1512,-68,-19,17
328,-1350,1516,-65,-26,6
343,-1381,1488,-69,3,8
350,-1383,1513,-29,39,4
357,-1357,1546,-19,58,-2
345,-1366,1526,37,74,-7
335,-1360,1573,35,50,-18
339,-1357,1572,4,14,-18
333,-1371,1548,-19,-16,-17
324,-1361,1519,-26,-33,-14
318,-1341,1509,-37,-49,-4
327,-1347,1485,-45,-45,-2
324,-1372,1475,-38,-31,0
319,-1385,1489,-18,-24,-7
336,-1354,1504,-23,-16,-2
336,-1360,1503,-39,-19,1
322,-1364,1495,-45,-17,2
334,-1360,1493,-22,-12,-7
313,-1349,1517,49,-13,-25
319,-1349,1543,22,-26,-20
327,-1363,1535,-8,-30,-10
324,-1390,1542,-28,-21,10
333,-1367,1546,-32,-19,18
336,-1355,1533,-49,-13,25
328,-1353,1519,-72,-3,33
323,-1365,1499,-68,-5,31
327,-1359,1501,-55,-6,28
334,-1371,1485,-52,-6,21
332,-1386,1483,-17,-5,6
345,-1382,1482,27,3,-11
339,-1363,1498,37,2,-18
345,-1358,1519,-8,1,-5
338,-1393,1520,-47,1,17
336,-1395,1500,-56,-5,19
336,-1331,1493,-51,-8,8
325,-1336,1481,-32,-5,-1
324,-1352,1490,9,-8,-19
340,-1359,1543,22,-12,-16
340,-1392,1548,-10,-12,-4
340,-1401,1554,-32,-17,5
345,-1409,1557,-61,-26,18
339,-1369,1520,-114,-47,29
334,-1368,1480,-111,-43,24
326,-1361,1468,-57,-33,10
325,-1350,1477,-22,-28,0
325,-1352,1489,-9,-12,-3
324,-1360,1475,-14,-6,-7
328,-1374,1472,0,7,-10
323,-1367,1504,-8,6,-4
324,-1364,1504,-24,8,3
309,-1398,1488,-18,10,8
312,-1386,1514,28,6,3
328,-1364,1513,34,-22,10
339,-1360,1538,16,-30,13
342,-1394,1511,-10,-25,18
344,-1377,1519,-3,-15,14
343,-1362,1514,-15,-9,15
333,-1371,1508,-34,6,19
331,-1377,1532,-58,-10,20
332,-1393,1503,-76,-27,14
323,-1388,1499,-59,-32,5
349,-1361,1486,-80,-47,8
339,-1381,1485,-58,-33,7
343,-1381,1499,-32,-28,1
337,-1392,1495,-18,-26,-2
327,-1366,1488,0,-21,-15
331,-1363,1472,0,-16,-15
332,-1368,1468,-2,-8,-14
325,-1391,1490,-26,11,-8
320,-1384,1509,-43,-2,-8
314,-1379,1509,-47,-30,-7
350,-1378,1505,-13,-38,-6
359,-1403,1504,5,-25,-8
356,-1407,1516,8,-14,-17
342,-1386,1520,-13,-11,-24
311,-1361,1496,-13,-6,-10
307,-1355,1483,-30,-12,3
322,-1355,1462,-31,-10,17
323,-1378,1465,-21,-2,23
358,-1370,1500,-19,0,14
359,-1393,1488,-21,6,-3
336,-1415,1489,14,8,-28
304,-1404,1534,73,-3,-24
325,-1386,1500,77,-12,-1
337,-1379,1490,71,-9,21
352,-1318,1480,-14,-14,30
338,-1363,1480,-36,-9,26
355,-1364,1495,-48,-7,17
357,-1379,1504,-89,-11,4
357,-1396,1451,-110,15,-48
330,-1407,1471,-56,39,-48
315,-1395,1512,-25,50,-47
321,-1371,1534,-22,42,-34
325,-1380,1510,-5,10,3
341,-1361,1529,-36,-12,6
328,-1370,1478,-66,-20,-6
321,-1371,1481,-60,-10,-15
324,-1403,1485,-25,21,10
323,-1417,1501,12,22,14
325,-1400,1516,20,4,14
326,-1393,1512,4,-28,8
363,-1354,1491,-75,-58,-27
355,-1379,1489,-121,-40,-47
366,-1375,1468,-129,-11,-64
337,-1410,1502,-130,62,-59
313,-1421,1517,-101,77,-45
300,-1425,1506,-65,68,-25
309,-1391,1530,-52,43,-2
334,-1383,1487,-14,-2,30
341,-1386,1484,4,-18,30
339,-1391,1471,6,-27,22
367,-1409,1459,27,-15,30
356,-1423,1475,27,-18,41
349,-1410,1482,12,-37,42
344,-1400,1457,1,-54,35
350,-1346,1451,-36,-32,-20
323,-1370,1439,-25,-13,-50
309,-1395,1442,8,5,-74
314,-1411,1483,19,19,-64
326,-1416,1488,10,22,-41
329,-1405,1506,-11,26,-18
323,-1422,1517,-15,25,13
355,-1411,1521,4,-13,54
359,-1417,1517,13,-31,61
367,-1399,1528,4,-52,52
372,-1371,1475,-53,-63,21
352,-1385,1446,-25,-47,-12
360,-1368,1449,12,-18,-46
337,-1383,1424,38,12,-66
312,-1399,1447,58,36,-75
315,-1410,1476,2,43,-32
319,-1408,1494,-19,40,-2
306,-1387,1486,-33,8,36
310,-1372,1478,-9,-12,33
324,-1345,1480,1,-28,33
347,-1382,1476,4,-33,26
358,-1392,1486,3,-21,16
347,-1421,1470,4,-5,3
353,-1421,1501,1,7,-8
350,-1426,1501,-45,10,0
342,-1413,1493,-50,9,2
344,-1386,1483,-43,3,1
333,-1375,1470,-27,-2,4
321,-1362,1474,5,-27,1
327,-1376,1453,13,-33,-1
333,-1394,1479,18,-25,-1
332,-1413,1493,-3,-16,4
327,-1426,1474,-23,-3,13
328,-1408,1484,-24,0,17
335,-1391,1485,-18,-2,20
340,-1388,1476,-8,-10,17
346,-1389,1479,35,-15,-1
354,-1389,1491,43,-7,-6
346,-1391,1522,33,-4,-4
322,-1364,1491,21,-27,-32
330,-1365,1506,13,-28,-35
323,-1381,1508,3,-25,-28
326,-1411,1502,-4,-17,-20
343,-1403,1520,-21,19,8
349,-1396,1516,-54,28,22
342,-1396,1495,-66,27,29
