order,ax,ay,az,gx,gy,gz
0,0.050293,-0.282715,1.005859,18.493652,-11.108398,-4.821777
1,0.031250,-0.225098,1.041992,20.324707,-13.244629,-6.225586
2,-0.004395,-0.170410,1.046875,12.329102,-19.042969,-7.446289
3,-0.005371,-0.149414,1.026855,5.981445,-20.446777,-7.568359
4,0.012695,-0.130859,1.019043,0.061035,-21.545410,-6.958008
5,0.030273,-0.156250,0.984863,-2.136230,-21.728516,-4.882812
6,0.068359,-0.196777,0.905762,5.859375,-22.521973,-3.662109
7,0.072754,-0.211914,0.893066,10.620117,-19.348145,-1.037598
8,0.064941,-0.216797,0.920898,17.333984,-15.563965,1.831055
9,0.077148,-0.226562,0.978027,20.874023,-16.235352,1.953125
10,0.097168,-0.195801,0.959473,19.226074,-16.662598,0.976562
11,0.098145,-0.173828,0.952148,14.465332,-10.375977,2.075195
12,0.105957,-0.161133,0.958496,19.775391,-12.695312,2.502441
13,0.103027,-0.068359,0.802246,22.644043,-6.958008,5.798340
14,0.059082,-0.057617,0.965820,24.719238,5.187988,18.249512
15,0.052734,-0.142578,0.929199,39.489746,6.896973,19.165039
16,-0.077637,-0.373535,1.167969,52.001953,2.197266,11.413574
17,-0.067871,-0.279785,1.074707,10.498047,-13.183594,0.122070
18,-0.107422,-0.325684,1.067871,-3.601074,-21.972656,-11.291504
19,-0.062988,-0.297852,0.965820,-7.263184,-27.465820,-22.338867
20,0.018555,-0.260254,0.843262,5.432129,-29.357910,-25.085449
21,0.043457,-0.242676,0.787598,25.695801,-23.742676,-26.062012
22,0.061523,-0.106445,0.856445,39.062500,-2.502441,-32.470703
23,0.060059,-0.067383,0.887695,30.273438,8.605957,-28.381348
24,0.057129,-0.091309,0.876953,20.019531,18.127441,-24.597168
25,0.081055,-0.138672,0.847656,19.409180,26.123047,-25.146484
26,0.078613,-0.147461,0.905273,42.053223,33.264160,-32.836914
27,0.096680,-0.105957,0.929199,48.522949,29.846191,-36.193848
28,0.112793,-0.061035,0.927734,51.696777,27.404785,-35.827637
29,0.092773,-0.014648,0.944824,53.100586,26.611328,-33.142090
30,0.018555,-0.005859,1.045898,31.982422,29.357910,-24.169922
31,0.012695,-0.075195,1.041504,14.526367,31.311035,-19.714355
32,-0.082031,-0.081543,1.132812,1.037598,31.860352,-25.207520
