order,ax,ay,az,gx,gy,gz
0,-0.377441,-0.470215,2.088379,-263.305664,-42.297363,-15.319824
1,-0.271973,-0.362793,1.658203,-247.985840,-109.619141,-46.081543
2,0.002930,0.054688,1.210938,-201.171875,-166.015625,-37.902832
3,-0.011230,-0.014160,1.057129,-127.075195,-221.496582,13.610840
4,-0.082520,-0.312988,1.192871,-127.380371,-232.116699,5.310059
5,0.024902,-0.568359,1.007324,-147.521973,-220.336914,-20.874023
6,0.492188,-0.464844,0.743652,-143.066406,-114.746094,-22.277832
7,0.558594,-0.577148,0.859375,-156.738281,-82.153320,1.037598
8,0.498047,-0.554688,0.993652,-171.142578,-73.791504,7.019043
9,0.265625,-0.582520,1.109375,-163.818359,-82.092285,-3.051758
10,0.160156,-0.562012,1.186523,-154.052734,-81.176758,-20.141602
11,0.228027,-0.629395,1.030762,-150.817871,-70.190430,-46.325684
12,0.509766,-0.489746,0.850098,-116.210938,-77.087402,-67.871094
13,0.579102,-0.430664,0.721191,-88.928223,-100.097656,-28.503418
14,0.506836,-0.391113,0.568848,-78.735352,-90.087891,-6.103516
15,0.447266,-0.384766,0.488281,-78.063965,-55.114746,18.493652
16,0.388184,-0.525879,0.368164,-69.396973,26.794434,28.686523
17,0.367188,-0.477539,0.370117,-64.147949,62.194824,26.000977
18,0.354980,-0.412598,0.377441,-55.725098,90.270996,27.038574
19,0.312500,-0.409180,0.375977,-48.828125,116.699219,34.484863
20,0.204590,-0.490234,0.469238,-44.982910,163.452148,42.846680
21,0.232422,-0.529297,0.571777,-42.785645,183.837891,47.790527
22,0.233398,-0.546875,0.795410,-27.526855,182.250977,52.062988
23,0.048828,-0.591309,0.880859,57.678223,115.051270,49.377441
24,0.028809,-0.560547,0.839355,83.679199,86.486816,31.433105
25,0.073730,-0.518066,0.660156,72.570801,78.918457,11.169434
26,0.128418,-0.360840,0.583008,47.790527,93.017578,9.643555
27,0.113281,-0.340820,0.604004,44.494629,97.717285,21.118164
28,0.067383,-0.352539,0.613770,48.400879,102.905273,28.442383
29,0.165039,-0.204102,0.730469,-13.366699,138.122559,62.683105
30,0.137695,-0.357422,0.689453,-43.090820,179.016113,80.444336
31,0.075195,-0.560059,0.533203,-38.879395,203.308105,95.031738
32,0.014648,-0.587891,0.736328,-18.005371,202.148438,104.309082
33,-0.383789,-0.668945,0.410645,42.175293,170.654297,97.717285
34,-0.401855,-0.707031,0.428223,73.608398,164.489746,68.847656
35,-0.298340,-0.618652,0.666016,89.477539,159.973145,39.245605
36,-0.150391,-0.474609,0.914551,80.749512,146.728516,18.615723
37,-0.187012,-0.414551,0.923340,35.034180,144.714355,3.540039
38,-0.317383,-0.519531,0.807617,27.893066,137.573242,8.361816
39,-0.236328,-0.437012,0.804199,55.053711,118.896484,18.981934
40,-0.310059,-0.468262,0.568848,136.047363,80.322266,51.147461
41,-0.408203,-0.506836,1.197266,131.469727,97.045898,42.358398
42,-0.394043,-0.443848,1.071777,116.638184,67.504883,15.319824
43,-0.311523,-0.403320,0.846191,140.563965,13.732910,18.310547
44,-0.362305,-0.461426,0.743652,174.560547,-8.239746,24.841309
45,-0.322266,-0.373535,0.738770,205.505371,-29.785156,26.489258
46,-0.281250,-0.330566,0.763184,235.229492,-50.476074,31.799316
47,-0.258789,-0.307617,0.798340,277.648926,-76.293945,32.287598
48,-0.262695,-0.307617,0.904785,337.768555,-111.694336,25.878906
49,-0.252930,-0.222168,1.011719,349.121094,-109.985352,14.892578
50,-0.303711,0.071777,1.285156,292.419434,-123.229980,3.662109
51,-0.236816,0.249023,1.349121,229.553223,-123.779297,-3.723145
52,-0.220215,0.387207,1.388184,148.559570,-119.628906,-3.479004
53,-0.191406,0.375977,1.453613,50.048828,-117.736816,0.183105
54,0.002441,0.144043,1.364258,-68.115234,-124.694824,2.685547
55,0.083496,0.073730,1.355957,-78.125000,-145.446777,8.850098
56,0.062012,0.062500,1.328125,-68.786621,-166.381836,20.751953
57,0.008301,0.135742,1.249512,-69.335938,-173.645020,49.133301
58,0.072266,0.155762,1.056641,-91.918945,-157.897949,57.189941
59,0.087402,0.193848,1.082031,-126.037598,-140.197754,71.899414
60,-0.044434,-0.003906,1.212891,-181.030273,-157.348633,66.955566
61,0.038086,0.117188,1.283203,-207.519531,-182.983398,59.020996
62,-0.068848,-0.088867,1.150391,-285.949707,-202.209473,65.490723
63,-0.069336,-0.155273,0.938477,-301.879883,-206.726074,58.959961
64,0.125488,-0.131348,0.640625,-284.545898,-188.354492,40.405273
65,0.242188,-0.150879,0.661621,-265.991211,-172.851562,35.522461
66,0.263672,-0.264160,0.819336,-262.207031,-156.433105,31.921387
67,0.280273,-0.374512,0.824707,-274.108887,-137.512207,24.719238
68,0.300293,-0.439453,0.678223,-285.827637,-106.628418,11.901855
69,0.272461,-0.397949,0.623535,-286.376953,-101.196289,9.094238
70,0.260254,-0.398926,0.518555,-278.991699,-100.463867,10.925293
71,0.349121,-0.653320,0.271484,-230.957031,-79.895020,19.287109
72,0.392090,-0.780762,0.250488,-197.204590,-57.312012,24.597168
73,0.455078,-0.832031,0.218262,-168.395996,-36.132812,29.174805
74,0.488770,-0.783691,0.239258,-158.386230,15.747070,41.625977
75,0.496094,-0.729004,0.258301,-158.203125,44.067383,42.785645
76,0.439941,-0.711426,0.315918,-148.315430,70.190430,42.907715
77,0.395020,-0.759766,0.316406,-125.061035,89.111328,42.846680
78,0.404785,-0.853027,0.296875,-98.388672,117.248535,43.151855
79,0.391113,-0.830566,0.191406,-93.139648,130.249023,46.508789
80,0.383789,-0.766113,-0.042969,-71.044922,144.714355,52.856445
81,0.229980,-0.734863,0.185059,-3.295898,172.363281,65.124512
82,0.168457,-0.742188,0.134766,35.827637,181.762695,68.603516
83,0.117188,-0.772949,0.131836,57.495117,202.148438,70.373535
84,-0.066895,-0.821777,0.212402,95.520020,249.389648,66.833496
85,-0.125488,-0.789551,0.377441,123.168945,260.131836,66.650391
86,-0.145996,-0.791016,0.511719,145.019531,257.019043,64.636230
87,-0.116211,-0.758789,0.530273,152.587891,256.896973,58.410645
88,-0.225098,-0.646484,0.877441,146.545410,243.164062,42.968750
89,-0.207520,-0.662109,0.691406,146.057129,198.913574,35.949707
90,-0.204102,-0.655762,0.590332,152.404785,177.307129,28.381348
91,-0.128906,-0.640625,0.574707,169.555664,150.512695,35.034180
92,-0.224121,-0.692871,0.598145,182.373047,152.160645,34.545898
93,-0.183594,-0.541992,0.581543,206.970215,143.493652,28.015137
94,-0.170410,-0.558105,0.507324,247.863770,135.437012,30.456543
95,-0.203125,-0.512207,0.604004,364.501953,118.896484,35.095215
96,-0.243164,-0.437012,0.680176,412.048340,101.623535,37.597656
97,-0.257324,-0.325684,0.799805,448.120117,84.106445,44.067383
98,-0.229492,-0.142578,1.006348,433.593750,70.861816,57.861328
99,-0.252930,-0.067871,0.948730,409.240723,75.134277,66.345215
100,-0.298340,0.087402,1.062012,378.173828,81.176758,70.617676
101,-0.392578,0.325684,1.348633,273.132324,70.312500,63.415527
102,-0.415527,0.359375,1.364746,211.364746,54.626465,54.870605
103,-0.455566,0.391602,1.283203,155.700684,39.062500,41.625977
104,-0.496582,0.448730,1.261719,86.486816,3.417969,22.888184
105,-0.501465,0.448242,1.278320,64.575195,-24.353027,22.583008
106,-0.484375,0.435547,1.367188,38.513184,-51.574707,27.404785
107,-0.355957,0.381836,1.443359,-51.025391,-89.782715,56.030273
108,-0.329102,0.318848,1.282227,-87.097168,-95.642090,68.725586
109,-0.319336,0.272461,1.111328,-96.435547,-95.581055,76.110840
110,-0.328613,0.206543,1.023926,-84.350586,-92.834473,77.392578
111,-0.333496,0.184570,1.044434,-56.823730,-90.942383,62.072754
112,-0.323242,0.271484,1.069336,-53.222656,-97.900391,52.673340
113,-0.311523,0.283203,1.101562,-73.059082,-115.173340,51.330566
114,-0.346191,0.155273,1.196289,-95.642090,-123.718262,48.645020
115,-0.423340,-0.094727,1.324219,-136.901855,-141.113281,11.108398
116,-0.096191,0.251465,0.987793,-182.739258,-158.142090,-2.380371
117,-0.093262,0.166504,0.840820,-177.673340,-151.672363,12.573242
118,0.369141,0.602539,1.025391,-180.786133,-168.212891,113.708496
119,-0.173340,-0.188477,0.889160,-214.111328,-170.166016,167.663574
120,-0.204102,-0.299805,0.873047,-253.112793,-160.400391,155.090332
121,-0.046387,-0.163574,0.798340,-277.099609,-144.775391,99.670410
122,-0.029297,-0.060547,0.880859,-283.142090,-133.911133,95.703125
123,-0.097168,-0.146484,0.925293,-298.522949,-126.220703,102.416992
124,-0.048828,-0.405762,0.826660,-357.727051,-97.961426,69.763184
125,0.104004,-0.454590,0.767090,-388.854980,-70.983887,48.828125
126,0.243164,-0.649414,0.562500,-391.418457,-44.799805,40.100098
127,0.174805,-0.968750,0.109375,-270.751953,8.361816,44.738770
128,0.021973,-0.984863,0.061035,-185.974121,36.682129,46.142578
129,-0.075195,-0.846191,0.203613,-118.896484,58.776855,37.780762
130,-0.061523,-0.510254,0.588379,-76.232910,86.059570,8.544922
131,-0.100098,-0.527832,0.710449,-74.707031,81.909180,0.427246
132,-0.108398,-0.654297,0.733887,-73.913574,70.800781,-12.084961
133,0.043945,-0.761719,0.736816,-99.609375,40.161133,-16.296387
134,0.174805,-0.829102,0.548828,-99.365234,43.640137,-7.446289
135,0.234375,-0.934570,0.523438,-82.580566,57.800293,7.385254
136,0.202637,-0.967285,0.544434,-50.598145,61.157227,26.245117
137,0.015137,-0.853027,0.579590,30.151367,87.829590,17.578125
138,-0.007812,-0.633789,0.866211,19.409180,101.928711,23.864746
139,-0.189453,-0.604980,0.732422,-117.675781,89.050293,-6.225586
140,-0.144043,-0.508789,0.683594,-137.817383,85.327148,-14.831543
141,-0.181152,-0.647461,0.639648,-137.573242,71.716309,-15.930176
142,-0.150879,-0.801758,0.549805,-133.300781,59.814453,-19.287109
143,-0.012695,-0.883789,0.302246,-101.074219,57.678223,-17.578125
144,0.050293,-0.955078,0.211914,-61.889648,63.049316,-3.601074
145,0.016113,-1.018066,0.151367,-13.488770,75.195312,11.108398
146,-0.088867,-0.897461,0.229004,60.119629,103.393555,21.789551
147,-0.162598,-0.754395,0.374023,79.711914,110.717773,20.324707
148,-0.171875,-0.750977,0.494629,78.186035,106.140137,19.592285
149,-0.171875,-0.778809,0.621094,48.828125,80.139160,12.512207
150,-0.180176,-0.813965,0.568848,35.156250,73.242188,9.338379
151,-0.186523,-0.833496,0.517090,34.851074,74.157715,1.647949
152,-0.221191,-0.836914,0.309082,52.978516,87.097168,1.159668
153,-0.213379,-0.825684,0.329590,79.284668,97.656250,5.065918
154,-0.196777,-0.846191,0.375977,106.567383,99.487305,9.460449
155,-0.204590,-0.750488,0.639648,132.446289,80.871582,12.573242
156,-0.199707,-0.749023,0.718262,113.586426,67.871094,12.817383
157,-0.186523,-0.758789,0.727051,83.007812,61.462402,11.962891
158,-0.190918,-0.753906,0.686035,59.020996,56.335449,12.145996
159,-0.335449,-0.709473,0.432617,93.688965,41.076660,8.728027
160,-0.351074,-0.670898,0.380371,141.479492,39.489746,2.685547
161,-0.340332,-0.698730,0.380859,185.363770,51.391602,-2.929688
162,-0.302734,-0.608887,0.447754,252.258301,86.120605,-15.441895
163,-0.280273,-0.557129,0.536621,269.348145,94.848633,-15.869141
164,-0.272461,-0.502441,0.653809,274.963379,91.491699,-12.573242
165,-0.191406,-0.457031,1.196289,170.227051,77.270508,23.925781
166,-0.130371,-0.494141,1.346680,90.026855,52.124023,41.137695
167,-0.158691,-0.552246,1.206543,31.982422,22.521973,53.894043
168,-0.337402,-0.520508,0.985840,12.634277,-31.494141,64.758301
169,-0.425293,-0.494141,1.083496,18.981934,-60.485840,54.382324
170,-0.456543,-0.449219,1.038086,31.860352,-93.383789,40.588379
171,-0.334473,-0.459473,0.477051,127.441406,-135.009766,22.155762
172,-0.286621,-0.458008,0.492188,184.997559,-123.474121,12.939453
173,-0.136719,-0.248047,0.436523,231.201172,-104.003906,12.207031
174,-0.226562,-0.307617,0.874023,264.099121,-77.087402,16.784668
175,-0.111816,-0.176758,0.986328,238.586426,-64.392090,12.512207
176,0.264160,0.085938,2.004395,77.270508,4.394531,27.954102
177,-0.331543,-0.473145,1.666504,-22.766113,4.028320,32.043457
178,-0.332520,-0.135742,1.354980,-32.714844,-79.406738,42.175293
179,-0.345703,-0.114258,1.364258,-57.312012,-98.571777,45.715332
180,-0.250488,-0.072754,1.261230,-100.402832,-104.919434,41.931152
