order,ax,ay,az,gx,gy,gz
0,0.244141,-0.657715,0.697266,-3.906250,-0.061035,-0.427246
1,0.234375,-0.662598,0.698242,2.258301,2.136230,-0.366211
2,0.237793,-0.668457,0.712402,7.324219,3.295898,-0.488281
3,0.245117,-0.666992,0.734375,7.995605,1.464844,-0.793457
4,0.242188,-0.661133,0.729492,4.943848,0.244141,-0.671387
5,0.238281,-0.658691,0.722656,2.685547,1.586914,0.183105
6,0.237305,-0.652344,0.730469,2.685547,1.525879,0.976562
7,0.237305,-0.658203,0.732422,1.770020,1.525879,1.281738
8,0.231445,-0.659668,0.733398,0.793457,-0.122070,-0.305176
9,0.241211,-0.657715,0.728516,0.305176,-0.244141,-0.610352
10,0.233398,-0.661133,0.746094,-1.525879,-0.122070,-0.244141
11,0.238281,-0.669922,0.726074,-4.333496,-0.427246,0.549316
12,0.236816,-0.662598,0.710449,-2.502441,-0.244141,0.427246
13,0.233887,-0.656250,0.696777,1.037598,0.244141,0.366211
14,0.237793,-0.653809,0.700195,3.845215,0.854492,0.610352
15,0.248535,-0.667480,0.717773,6.591797,1.403809,0.366211
16,0.250000,-0.666016,0.725586,5.249023,1.464844,0.183105
17,0.239746,-0.672363,0.726074,2.746582,1.037598,0.427246
18,0.247559,-0.655273,0.718750,-3.295898,-0.244141,0.244141
19,0.245117,-0.663086,0.717285,-5.249023,-0.305176,0.183105
20,0.245605,-0.667969,0.715332,-4.943848,0.122070,0.244141
21,0.241699,-0.665039,0.725586,-2.502441,-0.061035,0.000000
22,0.237305,-0.669922,0.717285,-2.075195,-0.244141,-0.122070
23,0.235840,-0.662598,0.713867,-1.647949,-0.793457,-0.122070
24,0.236816,-0.658203,0.696289,-0.732422,-0.549316,0.061035
25,0.238281,-0.664551,0.712891,-0.549316,0.000000,0.671387
26,0.237793,-0.664551,0.718262,-1.220703,-0.488281,0.305176
27,0.242188,-0.663086,0.715820,-1.647949,-0.427246,0.183105
28,0.229492,-0.665039,0.724609,-2.746582,0.000000,0.549316
29,0.231445,-0.661133,0.722656,-2.441406,0.122070,0.488281
30,0.231934,-0.663086,0.723145,-1.281738,0.488281,0.488281
31,0.238770,-0.665527,0.720703,0.183105,0.976562,0.000000
32,0.246094,-0.664551,0.726562,3.356934,1.708984,-0.427246
33,0.250977,-0.665527,0.741211,3.662109,0.976562,-0.549316
34,0.252930,-0.671875,0.739258,2.319336,-0.061035,-0.915527
