order,ax,ay,az,gx,gy,gz
0,0.000488,-0.421875,0.916504,-0.549316,27.709961,-16.174316
1,-0.035645,-0.442871,1.007812,-18.615723,48.217773,-15.930176
2,-0.132812,-0.472168,1.034668,-39.245605,59.143066,-24.841309
3,-0.143555,-0.434082,0.994629,-34.606934,56.213379,-29.418945
4,-0.118164,-0.366699,0.948730,-20.568848,49.743652,-29.907227
5,-0.097656,-0.264648,0.823730,19.775391,32.043457,-20.935059
6,-0.071777,-0.255371,0.783691,36.560059,22.155762,-13.000488
7,-0.059082,-0.295898,0.712891,49.743652,18.920898,-5.798340
8,-0.062500,-0.417969,0.865234,50.109863,18.798828,-4.333496
9,-0.065430,-0.460938,0.967285,23.376465,9.826660,-10.131836
10,-0.060547,-0.471680,0.892578,-8.483887,1.159668,-18.188477
11,-0.053223,-0.449219,0.757812,-27.465820,-5.554199,-25.451660
12,-0.022461,-0.412598,0.611816,-24.353027,-5.615234,-34.667969
13,-0.024902,-0.346680,0.567383,-11.230469,-9.460449,-35.095215
14,-0.020508,-0.307129,0.516113,6.042480,-14.770508,-30.883789
15,0.011719,-0.341797,0.421387,27.648926,-17.150879,-28.015137
16,0.070312,-0.303711,0.498535,58.410645,-8.728027,-24.047852
17,0.090332,-0.293945,0.627441,47.973633,-4.577637,-20.263672
18,0.099609,-0.333496,0.761230,28.198242,-7.568359,-15.441895
19,0.083984,-0.441895,0.769531,-13.854980,-24.597168,-8.972168
20,0.094727,-0.485352,0.694336,-25.207520,-25.817871,-9.033203
21,0.105957,-0.524902,0.659668,-29.846191,-21.484375,-11.352539
22,0.133789,-0.554688,0.574219,-14.953613,-12.756348,-19.165039
23,0.149414,-0.551270,0.510742,17.517090,-1.220703,-22.521973
24,0.157227,-0.532715,0.613281,54.260254,11.291504,-23.254395
25,0.151855,-0.484863,0.827148,71.350098,16.418457,-21.362305
26,0.119629,-0.462891,0.948730,64.636230,17.639160,-18.432617
27,0.085449,-0.435059,1.022461,28.930664,22.521973,-10.314941
28,0.083496,-0.441895,1.077637,22.583008,23.864746,-6.774902
29,0.067871,-0.428223,1.180664,15.319824,19.775391,-3.356934
30,-0.051758,-0.366699,1.447754,-24.536133,1.037598,-0.488281
31,-0.043457,-0.466309,1.487305,-60.119629,-15.319824,-1.037598
32,-0.017578,-0.664062,1.218262,-62.011719,-22.766113,-3.234863
33,0.033691,-0.862305,1.125488,46.691895,-46.569824,-17.150879
34,0.123047,-0.759766,1.241699,103.149414,-74.951172,-22.277832
35,0.186035,-0.586914,1.307617,130.371094,-102.600098,-20.812988
36,0.204590,-0.483887,1.265625,127.746582,-111.267090,-22.216797
37,0.301270,-0.303223,1.104004,85.083008,-78.735352,-32.348633
38,0.217773,-0.160156,1.280273,44.555664,-48.645020,-41.320801
39,0.281738,-0.014648,1.350098,-11.657715,-28.076172,-47.912598
40,0.261719,0.207520,1.273438,-100.402832,-12.878418,-31.616211
41,-0.011230,0.003906,1.082031,-126.708984,13.366699,-62.133789
42,0.089844,-0.009766,1.140625,-116.516113,10.681152,-75.744629
43,0.161621,-0.088867,1.087402,-107.543945,-6.958008,-72.692871
44,0.298340,-0.231445,0.791016,-126.831055,-26.977539,-70.068359
45,0.386719,-0.261230,0.517090,-137.817383,-3.356934,-75.256348
46,0.417480,-0.270508,0.405273,-123.229980,47.302246,-82.458496
47,0.395020,-0.123535,0.798340,-87.768555,141.418457,-65.612793
48,0.295410,-0.112305,1.090332,-100.036621,153.259277,-43.945312
49,0.176758,-0.170898,1.165039,-128.784180,145.019531,-28.198242
50,0.089355,-0.232422,1.101074,-154.907227,136.840820,-18.127441
51,0.283691,-0.244629,0.652832,-85.876465,95.397949,41.137695
52,0.211426,-0.371582,0.481934,29.968262,66.101074,78.186035
53,0.156738,-0.413574,0.613770,133.972168,27.160645,108.337402
54,-0.097656,-0.439453,0.828125,238.647461,-36.315918,141.845703
55,-0.227539,-0.431641,0.890137,255.554199,-56.457520,143.920898
56,-0.333984,-0.427734,1.036621,242.492676,-71.350098,133.300781
57,-0.200195,-0.250977,0.893066,144.470215,-92.285156,16.906738
58,0.065430,-0.163086,0.840332,90.393066,-92.346191,-2.441406
59,0.186523,-0.285645,0.802734,16.967773,-72.265625,-7.263184
60,0.123047,-0.460449,0.827637,-54.626465,-29.907227,-11.474609
61,-0.028320,-0.244141,1.048828,-101.623535,0.793457,-58.349609
62,-0.035645,-0.247070,1.115234,-95.825195,-20.019531,-58.166504
63,-0.127930,-0.435059,1.090820,-106.140137,-34.606934,-55.297852
64,-0.063477,-0.655762,0.805664,-115.417480,-45.654297,-77.758789
65,0.048828,-0.663086,0.870605,-128.417969,-35.156250,-74.523926
66,0.095215,-0.736328,0.897949,-163.696289,-13.793945,-66.345215
67,0.005859,-0.951172,0.709473,-187.866211,15.075684,-75.073242
68,0.029297,-1.148926,0.648926,-176.086426,77.514648,-152.893066
69,0.242188,-0.870605,0.714844,-153.503418,92.895508,-186.889648
70,0.450195,-0.625000,0.814453,-137.512207,107.604980,-191.162109
71,0.531250,-0.457520,0.713379,-88.562012,120.056152,-128.784180
72,0.309082,-0.474121,0.570801,-19.958496,117.980957,-85.876465
73,0.059082,-0.634277,0.598145,41.259766,112.304688,-58.654785
74,-0.242676,-0.921875,0.809082,112.792969,101.623535,-57.250977
75,-0.320312,-0.981445,0.950195,135.559082,99.548340,-81.970215
76,-0.281250,-0.873047,1.165527,142.517090,100.952148,-107.604980
77,-0.262695,-0.720215,1.407227,125.183105,100.830078,-128.662109
78,-0.190918,-0.332031,1.284668,52.795410,88.012695,-153.991699
79,-0.048340,-0.127441,1.176758,28.991699,74.707031,-139.282227
80,0.048828,-0.040527,1.122070,10.192871,56.274414,-111.572266
81,-0.001953,-0.029785,1.036621,6.164551,-3.540039,-57.128906
82,-0.163574,-0.210938,1.079590,-6.896973,-34.790039,-49.255371
83,-0.137207,-0.286133,1.057129,-45.349121,-53.161621,-53.710938
84,0.182617,-0.307129,0.795410,-120.483398,-55.603027,-45.471191
85,0.316895,-0.474121,0.603027,-118.713379,-57.006836,-34.057617
86,0.426758,-0.770996,0.472656,-99.853516,-27.770996,-32.165527
87,0.190918,-0.988770,0.502930,-60.363770,8.117676,-54.931641
88,-0.004883,-0.747559,0.488770,23.132324,7.324219,-114.929199
89,0.203125,-0.353516,0.399414,37.597656,21.911621,-119.384766
90,0.290527,-0.080078,0.442871,38.574219,37.414551,-106.567383
91,0.123535,-0.180176,0.978027,24.353027,23.864746,-80.871582
92,0.142578,-0.229004,1.151367,-18.249512,-10.437012,-78.002930
93,0.182617,-0.221680,0.863281,-54.321289,-43.579102,-74.401855
94,0.180664,-0.181152,0.370117,-51.330566,-55.053711,-66.650391
95,0.256348,-0.232910,0.144531,6.347656,-11.474609,-39.306641
96,0.397461,-0.197754,0.259277,13.427734,11.962891,-22.705078
97,0.605957,-0.334961,0.242676,15.136719,40.161133,-9.338379
98,0.724609,-0.295410,0.086426,17.028809,113.403320,14.282227
