order,ax,ay,az,gx,gy,gz
0,0.161133,-0.213867,0.768066,-0.305176,-39.794922,-38.696289
1,0.199219,-0.199219,0.866211,0.122070,-36.437988,-36.865234
2,0.214355,-0.176758,0.896484,-8.483887,-38.940430,-36.804199
3,0.245605,-0.188477,0.796387,-3.784180,-14.892578,-14.587402
4,0.232422,-0.221680,0.839844,3.479004,12.634277,-5.249023
5,0.182129,-0.200684,0.942871,-3.906250,34.423828,-0.671387
6,0.125488,-0.156738,1.021484,-26.794434,43.395996,2.685547
7,0.044434,-0.187500,1.014160,-50.292969,41.259766,4.638672
8,0.035645,-0.236328,1.012695,-66.894531,29.296875,5.493164
9,0.026855,-0.380859,0.999023,-73.181152,0.793457,14.221191
10,0.056641,-0.456543,0.902344,-69.152832,-2.014160,14.221191
11,-0.027344,-0.603027,0.755859,-48.034668,4.028320,7.202148
12,0.095703,-0.498047,0.918457,-28.991699,5.126953,0.793457
13,0.150391,-0.427246,0.905762,-15.991211,1.342773,1.098633
14,0.138184,-0.352051,0.870605,-4.211426,1.342773,3.601074
15,-0.004883,-0.563965,0.780762,10.070801,-0.244141,0.427246
16,-0.039062,-0.684570,0.785156,18.432617,-0.061035,-28.747559
17,0.026855,-0.674316,0.808105,22.583008,-5.493164,-52.551270
18,0.082031,-0.593750,0.803711,28.991699,-10.559082,-70.129395
19,0.163086,-0.257812,0.829590,23.010254,-9.155273,-82.214355
20,0.143066,-0.139160,0.796875,16.784668,-7.080078,-78.613281
21,0.146973,-0.048828,0.775879,10.742188,-3.051758,-69.519043
22,0.153809,-0.064941,0.726562,4.638672,4.760742,-53.527832
23,0.036621,-0.283203,0.624023,1.464844,29.052734,-34.301758
24,0.027344,-0.332031,0.633789,-5.187988,38.635254,-33.264160
25,0.020996,-0.329590,0.636230,-15.380859,43.579102,-34.240723
26,0.006836,-0.311523,0.628418,-25.329590,44.799805,-34.362793
27,-0.093262,-0.537109,0.565430,0.122070,48.645020,-38.330078
28,-0.191406,-0.459961,0.606445,32.836914,44.372559,-51.513672
29,-0.181152,-0.336426,0.598145,67.077637,20.202637,-56.396484
30,0.006836,-0.153809,0.372559,116.271973,-3.234863,-62.316895
31,0.101074,-0.063965,0.325684,121.765137,8.117676,-66.101074
32,0.133301,0.066406,0.376953,120.117188,25.207520,-57.861328
33,0.083008,0.116699,0.419434,98.876953,46.691895,-45.227051
34,-0.044922,0.024902,0.398926,58.654785,86.059570,-41.564941
35,-0.131348,-0.232422,0.500977,31.250000,135.681152,-50.903320
36,-0.164551,-0.473633,1.046875,50.537109,155.395508,-70.983887
37,-0.282715,-0.097168,1.117676,132.690430,82.824707,-109.863281
38,-0.136719,0.116211,1.306641,208.496094,37.353516,-96.008301
39,-0.073730,0.285645,1.504883,252.319336,-16.235352,-70.739746
40,-0.017578,0.289551,1.591797,251.586914,-56.213379,-45.715332
41,0.074707,0.212891,1.574707,215.454102,-75.622559,-28.320312
42,0.027344,-0.053711,1.241211,123.229980,-62.011719,-20.446777
43,-0.031250,-0.149902,1.125488,92.651367,-30.334473,-38.513184
44,0.017578,-0.138184,1.158691,66.467285,6.225586,-65.490723
45,0.118652,-0.052246,1.218262,34.606934,44.128418,-87.158203
46,0.203125,-0.000488,1.267578,2.502441,81.848145,-100.097656
47,0.218262,0.056641,1.354980,-23.071289,112.670898,-108.703613
48,0.210938,0.117676,1.440430,-39.367676,133.422852,-112.609863
49,0.145020,0.272949,1.800293,-18.920898,121.520996,-94.177246
50,0.081543,0.379395,1.926758,-12.939453,87.463379,-67.504883
51,0.014160,0.433105,1.952637,-17.578125,43.029785,-36.682129
52,-0.003418,0.409668,1.851074,-30.334473,-5.432129,-8.117676
53,0.062500,0.159180,1.309082,-31.066895,-67.932129,32.653809
54,0.013184,0.037109,1.123047,-8.239746,-83.679199,35.461426
55,-0.068359,-0.035156,1.025879,18.005371,-96.618652,26.062012
