order,ax,ay,az,gx,gy,gz
0,0.476562,-0.166016,0.921387,25.329590,-58.715820,-55.419922
1,0.435547,-0.194336,0.904785,17.944336,-54.626465,-36.987305
2,0.388184,-0.187988,0.832520,9.704590,-39.672852,-16.906738
3,0.369629,-0.168945,0.793457,9.582520,-26.184082,-6.408691
4,0.274414,-0.237305,0.755371,21.301270,4.394531,2.929688
5,0.255859,-0.258789,0.771973,31.677246,20.019531,-0.976562
6,0.223145,-0.274414,0.799805,37.597656,36.987305,-8.483887
7,0.194336,-0.289062,0.850586,42.541504,55.419922,-20.080566
8,0.267090,-0.254395,0.972168,59.509277,73.059082,-46.569824
9,0.325684,-0.181641,1.041016,57.800293,70.495605,-50.231934
10,0.370605,-0.107910,1.085449,49.560547,61.157227,-44.250488
11,0.371582,-0.076172,1.097656,42.724609,46.997070,-31.616211
12,0.277344,-0.134277,1.159668,29.785156,25.024414,-18.066406
13,0.143555,-0.097656,1.270996,9.521484,21.911621,-24.719238
14,0.157227,-0.098633,1.238770,-25.451660,19.287109,-31.372070
15,0.188965,-0.227539,1.121582,-65.490723,12.390137,-29.479980
16,0.174805,-0.271484,1.047363,-57.556152,0.610352,-30.334473
17,0.149414,-0.249023,0.939453,-46.691895,-2.685547,-34.545898
18,0.115723,-0.297852,1.047852,-40.649414,-5.126953,-42.785645
19,0.190430,-0.156738,0.930176,-73.181152,-20.263672,-66.955566
20,0.215820,-0.149414,0.872559,-81.665039,-22.155762,-71.533203
21,0.222656,-0.183594,1.005371,-75.805664,-29.418945,-73.547363
22,0.246094,-0.200684,1.150391,-85.876465,-49.743652,-65.734863
23,0.373047,-0.532227,0.591797,-60.363770,-50.598145,-55.236816
24,0.392578,-0.538086,0.719238,-23.742676,-36.499023,-46.325684
25,0.249512,-0.415527,0.935059,7.690430,-5.004883,-56.884766
26,0.240234,-0.332031,0.975098,9.765625,5.310059,-73.242188
27,0.263184,-0.503906,1.081543,-1.708984,14.038086,-95.275879
28,0.235352,-0.452637,0.925781,-15.258789,38.818359,-179.748535
29,0.160156,-0.439453,0.765137,23.559570,50.537109,-217.651367
30,0.118164,-0.311523,0.966797,45.227051,49.011230,-255.981445
31,0.101562,-0.212402,1.152344,35.461426,30.456543,-292.663574
32,0.157227,-0.119141,1.082520,-19.653320,-9.399414,-354.064941
33,0.156250,-0.136719,0.872070,-31.921387,-5.493164,-379.577637
34,0.279297,0.052734,0.962402,-43.762207,24.658203,-413.085938
35,0.374023,0.301270,1.060547,-55.541992,23.925781,-396.911621
36,0.408691,0.442383,1.048828,-63.903809,9.033203,-362.365723
37,0.405273,0.481934,0.879395,-59.204102,-0.488281,-322.448730
38,0.350586,0.366211,0.777344,-44.067383,21.850586,-249.938965
39,0.344727,0.177246,0.860352,-44.738770,31.982422,-222.351074
40,0.400879,0.081543,0.732910,-40.161133,35.461426,-199.401855
41,0.392578,-0.075195,0.552246,26.489258,29.113770,-145.812988
42,0.317871,-0.072266,0.634277,71.472168,17.272949,-128.723145
43,0.222656,0.023926,0.872070,107.177734,-1.525879,-123.901367
44,0.306641,0.185059,1.160156,137.329102,-61.706543,-130.493164
