order,ax,ay,az,gx,gy,gz
0,0.444336,-0.734863,0.496094,2.685547,-16.723633,-4.089355
1,0.442383,-0.710938,0.532227,-7.751465,-6.713867,-2.868652
2,0.415527,-0.714355,0.535156,-13.610840,-3.112793,-2.502441
3,0.352051,-0.726562,0.558594,-17.700195,1.892090,-2.319336
4,0.347168,-0.729492,0.571777,-16.418457,1.647949,-4.211426
5,0.342773,-0.744629,0.593262,-16.723633,1.159668,-6.652832
6,0.351074,-0.746582,0.622070,-28.991699,-1.586914,-15.869141
7,0.368652,-0.794434,0.605469,-31.982422,-6.774902,-19.958496
8,0.385742,-0.748535,0.633789,-39.794922,-12.817383,-20.385742
9,0.377930,-0.761230,0.437500,-46.020508,-24.597168,-20.019531
10,0.385742,-0.781250,0.333496,-25.085449,-24.902344,-21.362305
11,0.410645,-0.777832,0.380371,-8.972168,-19.165039,-22.521973
12,0.440430,-0.788086,0.434082,4.089355,-13.549805,-25.207520
13,0.449219,-0.782227,0.444336,10.925293,-11.169434,-26.611328
14,0.450195,-0.766113,0.479004,14.648438,-8.728027,-27.221680
15,0.445801,-0.756348,0.501953,16.357422,-8.422852,-27.221680
16,0.446777,-0.729492,0.503418,15.563965,-9.582520,-28.259277
17,0.451660,-0.701660,0.523926,15.319824,-10.986328,-27.038574
18,0.456543,-0.687988,0.553711,12.084961,-11.291504,-25.390625
19,0.519043,-0.693359,0.569336,-8.300781,-3.112793,-16.052246
20,0.494629,-0.713867,0.569824,-11.291504,0.549316,-8.666992
21,0.442383,-0.708496,0.591797,-10.192871,0.976562,-3.540039
22,0.402344,-0.688477,0.584473,-10.070801,0.488281,-1.037598
23,0.421875,-0.678223,0.541992,-11.291504,1.342773,3.173828
24,0.438477,-0.713379,0.520996,-11.413574,1.159668,4.516602
25,0.459473,-0.718262,0.507324,-11.718750,1.098633,5.615234
26,0.456055,-0.699219,0.447266,-8.178711,6.896973,10.131836
27,0.443359,-0.694336,0.445801,-5.493164,13.244629,13.305664
28,0.425293,-0.689941,0.460938,-5.920410,20.385742,16.723633
29,0.404785,-0.692871,0.468750,-5.126953,28.747559,21.667480
30,0.366211,-0.718750,0.493164,-1.525879,30.029297,22.033691
31,0.366699,-0.728516,0.538574,2.624512,28.076172,21.728516
32,0.365723,-0.737793,0.570312,0.915527,25.085449,20.629883
33,0.378906,-0.735352,0.548828,-5.187988,23.315430,20.019531
34,0.430664,-0.725098,0.502930,-17.456055,29.785156,23.254395
35,0.438477,-0.730469,0.498047,-23.132324,35.217285,28.381348
36,0.416016,-0.760254,0.485840,-26.977539,40.222168,33.752441
37,0.366699,-0.794434,0.466309,-20.751953,45.654297,36.254883
38,0.339355,-0.805176,0.458984,-11.718750,47.607422,32.775879
39,0.326172,-0.798340,0.466309,-2.380371,48.645020,27.038574
40,0.324219,-0.778809,0.497559,3.479004,48.828125,21.606445
41,0.333496,-0.753418,0.532715,4.882812,45.288086,16.967773
42,0.326172,-0.787598,0.531250,7.934570,43.395996,15.930176
43,0.330078,-0.811035,0.566895,11.962891,39.672852,13.000488
44,0.338867,-0.809570,0.621582,13.671875,33.264160,8.972168
45,0.358398,-0.784668,0.618652,5.310059,19.897461,3.662109
46,0.356445,-0.785645,0.555176,4.333496,16.296387,2.868652
47,0.341309,-0.778809,0.513672,8.911133,16.357422,2.014160
48,0.331543,-0.741211,0.532227,15.441895,23.193359,1.403809
49,0.329102,-0.723145,0.558105,12.878418,25.146484,3.356934
50,0.320312,-0.727051,0.572754,8.911133,24.963379,6.042480
51,0.326172,-0.757812,0.566406,6.103516,24.230957,6.347656
52,0.330078,-0.745605,0.581543,5.065918,25.146484,6.225586
53,0.325195,-0.744629,0.585938,3.295898,25.695801,6.469727
54,0.324707,-0.745605,0.592285,1.220703,25.634766,6.896973
55,0.324707,-0.748535,0.565918,-3.540039,24.353027,10.131836
56,0.295898,-0.753906,0.547852,-1.220703,26.062012,10.864258
57,0.271973,-0.750000,0.563477,2.990723,27.709961,10.620117
58,0.263184,-0.759277,0.604004,5.798340,26.672363,9.277344
59,0.286133,-0.768066,0.626953,-3.295898,22.033691,5.554199
60,0.283203,-0.777832,0.612305,-4.821777,20.141602,4.699707
61,0.285645,-0.782227,0.614258,-5.981445,18.798828,3.662109
62,0.290039,-0.807617,0.605957,-7.995605,15.869141,3.356934
63,0.271973,-0.805664,0.590820,-5.126953,13.793945,2.441406
64,0.257812,-0.789551,0.599609,-3.662109,11.718750,1.525879
65,0.256836,-0.787109,0.583496,-4.333496,10.314941,0.305176
66,0.267090,-0.792969,0.579102,-4.089355,12.939453,-1.464844
67,0.254883,-0.793457,0.584473,-2.258301,13.793945,-3.417969
68,0.249023,-0.785156,0.573242,0.366211,14.648438,-5.615234
