order,ax,ay,az,gx,gy,gz
0,0.512695,0.013184,0.791504,24.902344,-6.591797,34.973145
1,0.436035,-0.042480,0.832520,19.226074,-15.380859,41.809082
2,0.270996,-0.145996,0.814453,-6.530762,-31.372070,50.842285
3,0.183594,-0.246094,0.781250,-13.122559,-33.813477,52.612305
4,0.060059,-0.337402,0.742676,-7.141113,-33.813477,40.161133
5,0.060547,-0.349609,0.657227,-2.075195,-31.005859,32.714844
6,0.088379,-0.311035,0.689941,6.774902,-28.747559,26.794434
7,0.125488,-0.266113,0.724121,6.347656,-23.620605,24.475098
8,0.159180,-0.230469,0.732422,-7.202148,-8.178711,23.071289
9,0.177246,-0.252441,0.724609,-7.934570,-5.249023,22.033691
10,0.216309,-0.275879,0.708008,-12.878418,-5.249023,20.446777
11,0.280762,-0.280273,0.650391,-8.117676,-5.981445,21.423340
12,0.283203,-0.292480,0.609375,-2.685547,-5.126953,20.629883
13,0.290527,-0.288086,0.601074,-0.305176,-1.831055,18.249512
14,0.275879,-0.307617,0.648438,-1.281738,2.807617,17.272949
15,0.228516,-0.381836,0.769043,-9.948730,13.122559,9.033203
16,0.228027,-0.416016,0.827637,-13.183594,11.535645,4.760742
17,0.283691,-0.416992,0.899902,-10.437012,8.300781,1.220703
18,0.418457,-0.403320,0.843750,-10.986328,12.023926,6.286621
19,0.437988,-0.392578,0.879883,-5.432129,22.094727,9.887695
20,0.407227,-0.380371,0.996582,-0.671387,27.465820,13.061523
21,0.340332,-0.408203,1.159180,-1.037598,25.756836,12.695312
22,0.239258,-0.470703,1.247559,-7.446289,10.803223,2.624512
23,0.212402,-0.479004,1.268066,-10.803223,2.380371,-3.784180
24,0.224121,-0.482422,1.237793,-20.507812,-3.051758,-10.620117
25,0.265625,-0.467773,1.156250,-29.907227,-3.601074,-16.845703
26,0.336426,-0.423828,0.999023,-29.785156,-6.652832,-25.817871
27,0.354980,-0.413574,0.916504,-18.005371,-8.361816,-24.169922
28,0.371094,-0.318848,0.955566,12.268066,-0.061035,-12.756348
29,0.324219,-0.299316,1.048828,18.005371,17.089844,-5.493164
30,0.175293,-0.307617,1.138184,14.831543,29.602051,5.981445
31,0.051758,-0.386230,1.230469,9.277344,38.391113,8.789062
32,-0.047363,-0.324707,1.459473,-49.621582,36.010742,-15.319824
33,-0.092773,-0.380859,1.452148,-80.017090,10.620117,-29.785156
34,-0.052734,-0.361328,1.309082,-94.665527,-24.291992,-42.968750
35,0.037598,-0.368164,1.081055,-120.849609,-56.457520,-62.805176
36,0.047363,-0.410156,1.016113,-153.503418,-57.189941,-69.213867
37,0.103516,-0.395996,0.831543,-162.170410,-47.973633,-71.166992
38,0.078125,-0.428711,0.458984,-164.062500,-16.113281,-62.744141
39,0.058594,-0.500977,0.366211,-146.545410,0.305176,-60.302734
40,0.060547,-0.567871,0.329590,-119.873047,22.277832,-61.828613
41,0.102539,-0.507324,0.322754,-89.599609,42.907715,-65.307617
42,0.250000,-0.331543,0.434570,-40.039062,83.190918,-55.969238
43,0.289551,-0.266602,0.629883,-21.850586,89.111328,-44.006348
44,0.306152,-0.308105,0.732422,-14.648438,75.500488,-30.944824
45,0.265137,-0.407227,0.857910,-4.882812,25.634766,-24.841309
46,0.228027,-0.464355,0.814453,-17.517090,7.812500,-33.569336
47,0.166016,-0.490723,0.754883,-44.250488,3.784180,-49.926758
48,0.084961,-0.494141,0.692383,-72.998047,12.329102,-66.101074
49,-0.022461,-0.526855,0.616211,-125.000000,58.593750,-87.463379
50,0.056641,-0.442871,0.469727,-158.203125,94.909668,-94.848633
51,0.161621,-0.317871,0.341797,-176.208496,134.643555,-96.069336
52,0.310059,-0.243652,0.556641,-209.594727,207.580566,-83.435059
53,0.309570,-0.229980,0.619141,-222.167969,240.417480,-80.505371
54,0.314453,-0.225098,0.686523,-242.126465,276.428223,-87.219238
55,0.352051,-0.288574,0.565430,-313.110352,342.529297,-100.585938
56,0.565430,-0.238281,0.715332,-450.256348,442.321777,-75.805664
57,0.577637,-0.366699,0.590332,-463.500977,450.500488,-35.827637
58,0.439453,-0.646484,0.437012,-411.621094,427.917480,-2.990723
59,0.011719,-0.946289,0.560547,-224.792480,322.204590,2.502441
60,-0.106934,-0.932129,0.703125,-166.015625,223.693848,-4.577637
61,-0.160156,-1.125488,0.670410,-114.562988,125.000000,-7.690430
62,-0.285156,-1.346191,-0.055664,-37.780762,48.767090,-25.085449
63,-0.348145,-1.258301,-0.235840,-31.188965,103.393555,-31.921387
64,-0.339355,-1.256348,-0.468750,2.136230,162.170410,-34.606934
65,-0.239258,-1.074219,-0.455566,90.576172,188.354492,-33.630371
66,-0.309570,-0.835938,0.281738,175.964355,193.298340,-19.287109
67,-0.552734,-0.918457,0.318848,211.914062,209.594727,-14.404297
68,-0.895508,-1.076172,0.297852,235.046387,238.647461,-28.076172
69,-0.996094,-0.885742,0.582520,186.828613,283.874512,-120.666504
70,-0.573730,-0.442871,0.620117,185.363770,262.573242,-97.778320
71,-0.383789,-0.485840,0.683594,174.499512,257.202148,-58.227539
72,-0.286621,-0.564453,1.293457,108.581543,225.036621,27.893066
73,-0.480957,-1.007324,1.101562,50.476074,191.833496,49.438477
74,-0.614258,-1.173340,0.905762,16.845703,169.311523,43.945312
75,-0.480957,-0.792480,0.565918,-17.517090,151.245117,36.132812
76,-0.415527,-0.555664,0.653809,-8.361816,144.104004,56.457520
77,-0.533203,-0.492676,0.796387,-41.137695,150.207520,90.332031
78,-0.625488,-0.524414,0.427734,-226.318359,245.483398,125.671387
79,-0.791016,-0.961914,0.052246,-216.674805,276.489258,133.605957
80,-0.928223,-1.075684,0.259277,-127.807617,244.140625,130.798340
81,-0.762207,-0.894043,0.083984,-44.433594,181.152344,117.553711
